project,organization,location,recording_date,recording_time,status,latitude,longitude,buffer_radius_m,species_code,scientific_name,species_english_name,species_class,method,rain,wind,noise,industry_noise,audio_issues,species_individual_name,transcriber,confidence,abundance,min0_voc,min0_start,min0_freq_range,min0_tag_duration,min1_voc,min1_start,min1_freq_range,min1_tag_duration,min2_voc,min2_start,min2_freq_range,min2_tag_duration,daily_weather_station_nm,task_status,daily_weather_station_elevation,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitation_mm,hourly_wind_direction,hourly_wind_speed,hourly_visibility_km,hourly_station_pressure,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,land_features,equipment_used,task_comment,species_comment,original_file_name,tagged_in_wildtrax
Edge Communities,BU,R-P10-31-2,2021-05-26,22:20:00,Active,57.841840,-115.562981,,OVEN,Seiurus aurocapilla,Ovenbird,AVES,3m 1SPR,None,None,None,None,None,4,Kelsey Bell,Confident,1,,,,,Song,28.3,2.10kHz to 7.10kHz,2.54,,,,,LA CRETE AGCM,Transcribed,323.00m,59km,5.20,16.50,10.80,,,0.00,,LA CRETE AGCM,323.00m,59km,11.70,5.70,67,0.00,13,10,,,,,NA,,,,,R-P10-31-2_20210526_222000.wav,t
Edge Communities,BU,H-P10-29-10,2021-05-26,22:20:00,Active,56.771700,-114.833780,,UNBI,,Unidentified bird,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Unknown far,1,,,,,Call,46.7,0.75kHz to 2.43kHz,0.96,,,,,RED EARTH,Transcribed,546.00m,37km,3.30,17.40,10.40,,,0.00,,RED EARTH,546.00m,37km,12.90,4.10,55,0.00,14,12,,94.69,,,NA,,,,"initially i thought it might be a jay, but at 125sec its almost sounds like a gull. not positive on ID because of distance",H-P10-29-10_20210526_222000.wav,t
Edge Communities,BU,R-P10-31-2,2021-05-26,22:20:00,Active,57.841840,-115.562981,,UNTR,,Unidentified Trill,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Unknown far,1,,,,,,,,,Song,40.7,4.53kHz to 7.75kHz,1.30,LA CRETE AGCM,Transcribed,323.00m,59km,5.20,16.50,10.80,,,0.00,,LA CRETE AGCM,323.00m,59km,11.70,5.70,67,0.00,13,10,,,,,NA,,,,,R-P10-31-2_20210526_222000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,TEWA,Leiothylpis peregrina,Tennessee Warbler,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,Song,0.0,4.44kHz to 10.27kHz,1.08,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,CHSP,Spizella passerina,Chipping Sparrow,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,Song,0.1,2.94kHz to 6.68kHz,0.83,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,CANG,Branta canadensis,Canada Goose,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,Call,0.4,0.19kHz to 2.05kHz,5.50,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,TEWA,Leiothylpis peregrina,Tennessee Warbler,AVES,3m 1SPR,None,None,None,None,None,2,Kelsey Bell,Confident,1,Song,0.8,3.92kHz to 10.23kHz,1.94,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,CHSP,Spizella passerina,Chipping Sparrow,AVES,3m 1SPR,None,None,None,None,None,3,Kelsey Bell,Confident,1,Song,0.9,3.32kHz to 6.16kHz,2.68,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,BAWW,Mniotilta varia,Black-and-white Warbler,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,Song,1.8,5.88kHz to 10.13kHz,2.21,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,CHSP,Spizella passerina,Chipping Sparrow,AVES,3m 1SPR,None,None,None,None,None,2,Kelsey Bell,Confident,1,Song,2.1,4.30kHz to 7.52kHz,2.86,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,SWTH,Catharus ustulatus,Swainson's Thrush,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,Song,2.1,1.59kHz to 5.23kHz,1.40,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,CANG,Branta canadensis,Canada Goose,AVES,3m 1SPR,None,None,None,None,None,2,Kelsey Bell,Confident,TMTT,Call,14.8,0.23kHz to 1.91kHz,7.05,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,UNPA, ,Unidentified Passerine,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,Call,17.0,5.46kHz to 10.74kHz,2.80,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,potentially another TEWA,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,WAVI,Vireo gilvus,Warbling Vireo,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Unknown far,1,Song,37.6,1.91kHz to 3.78kHz,1.63,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,too masked by other sounds to be confident. but kind of sounds like a warbling song that ends in an ascending note,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,HETH,Catharus guttatus,Hermit Thrush,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,Song,43.8,1.73kHz to 4.06kHz,1.64,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,PIWO,Dryocopus pileatus,Pileated Woodpecker,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,Call,48.6,1.35kHz to 2.33kHz,2.73,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,,,,,Song,0.9,2.33kHz to 4.20kHz,1.94,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,GRYE,Tringa melanoleuca,Greater Yellowlegs,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,,,,,Call,24.4,1.91kHz to 3.36kHz,7.66,,,,,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,UNWO, ,Unidentified Woodpecker,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,,,,,,,,,Non-vocal,22.1,0.23kHz to 1.59kHz,2.00,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,TEWA,Leiothylpis peregrina,Tennessee Warbler,AVES,3m 1SPR,None,None,None,None,None,3,Kelsey Bell,Confident,1,,,,,,,,,Song,46.5,2.80kHz to 9.01kHz,2.80,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,RCKI,Corthylio calendula,Ruby-crowned Kinglet,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,,,,,,,,,Song,53.8,1.82kHz to 3.55kHz,2.78,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,W-PD-29-17,2021-05-27,05:20:00,Active,56.773970,-114.843607,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,None,None,None,None,None,2,Kelsey Bell,Confident,1,,,,,,,,,Song,54.8,3.32kHz to 4.81kHz,4.35,RED EARTH,Transcribed,546.00m,37km,5.30,15.70,10.50,,,0.40,,RED EARTH,546.00m,37km,5.90,5.60,98,0.00,13,5,,94.39,,,NA,,,,,W-PD-29-17_20210527_052000.wav,t
Edge Communities,BU,P-P15-31-57,2021-05-27,22:40:00,Active,59.907030,-115.525353,,SWTH,Catharus ustulatus,Swainson's Thrush,AVES,3m 1SPR,Light,None,None,None,None,1,Kelsey Bell,Confident,1,Song,0.0,1.73kHz to 7.56kHz,1.63,,,,,,,,,HAY RIVER A,Transcribed,164.90m,105km,3.40,15.40,9.40,0.70,0.00,0.70,,HAY RIVER A,164.90m,105km,7.40,0.50,62,,8,8,24,98.45,,,NA,,,,,P-P15-31-57_20210527_224000.wav,t
Edge Communities,BU,S-P10-31-38,2021-05-27,22:40:00,Active,57.866430,-115.520389,,SWTH,Catharus ustulatus,Swainson's Thrush,AVES,3m 1SPR,Moderate,Moderate,Light,None,None,1,Nola Sheets,Confident,1,Song,0.0,1.17kHz to 5.46kHz,0.86,,,,,,,,,LA CRETE AGCM,Transcribed,323.00m,59km,8.70,17.30,13.00,,,0.40,,LA CRETE AGCM,323.00m,59km,11.30,9.10,87,0.00,18,9,,,,,NA,,,,,S-P10-31-38_20210527_224000.wav,t
Edge Communities,BU,R-P5-31-18,2021-05-27,22:40:00,Active,57.858860,-115.539672,,SWTH,Catharus ustulatus,Swainson's Thrush,AVES,3m 1SPR,Moderate,None,Light,None,None,1,Nola Sheets,Confident,1,Song,0.0,1.54kHz to 6.21kHz,1.61,,,,,,,,,LA CRETE AGCM,Transcribed,323.00m,59km,8.70,17.30,13.00,,,0.40,,LA CRETE AGCM,323.00m,59km,11.30,9.10,87,0.00,18,9,,,,,NA,,,,,R-P5-31-18_20210527_224000.wav,t
Edge Communities,BU,R-P5-31-18,2021-05-27,22:40:00,Active,57.858860,-115.539672,,SWTH,Catharus ustulatus,Swainson's Thrush,AVES,3m 1SPR,Moderate,None,Light,None,None,2,Nola Sheets,Confident,1,Song,1.6,1.31kHz to 6.86kHz,1.54,,,,,,,,,LA CRETE AGCM,Transcribed,323.00m,59km,8.70,17.30,13.00,,,0.40,,LA CRETE AGCM,323.00m,59km,11.30,9.10,87,0.00,18,9,,,,,NA,,,,,R-P5-31-18_20210527_224000.wav,t
Edge Communities,BU,S-P10-31-38,2021-05-27,22:40:00,Active,57.866430,-115.520389,,SWTH,Catharus ustulatus,Swainson's Thrush,AVES,3m 1SPR,Moderate,Moderate,Light,None,None,2,Nola Sheets,Confident,1,Song,2.3,0.84kHz to 6.91kHz,1.74,,,,,,,,,LA CRETE AGCM,Transcribed,323.00m,59km,8.70,17.30,13.00,,,0.40,,LA CRETE AGCM,323.00m,59km,11.30,9.10,87,0.00,18,9,,,,,NA,,,,,S-P10-31-38_20210527_224000.wav,t
Edge Communities,BU,P-P15-31-57,2021-05-27,22:40:00,Active,59.907030,-115.525353,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,Light,None,None,None,None,1,Kelsey Bell,Unknown far,1,Song,2.7,4.06kHz to 5.42kHz,1.64,,,,,,,,,HAY RIVER A,Transcribed,164.90m,105km,3.40,15.40,9.40,0.70,0.00,0.70,,HAY RIVER A,164.90m,105km,7.40,0.50,62,,8,8,24,98.45,,,NA,,,,"can only hear 2 notes, like BCCH, but pitch sounds more like WTSP",P-P15-31-57_20210527_224000.wav,t
Edge Communities,BU,R-P5-31-18,2021-05-27,22:40:00,Active,57.858860,-115.539672,,SWTH,Catharus ustulatus,Swainson's Thrush,AVES,3m 1SPR,Moderate,None,Light,None,None,3,Nola Sheets,Confident,1,Song,3.4,1.31kHz to 7.75kHz,2.54,,,,,,,,,LA CRETE AGCM,Transcribed,323.00m,59km,8.70,17.30,13.00,,,0.40,,LA CRETE AGCM,323.00m,59km,11.30,9.10,87,0.00,18,9,,,,,NA,,,,,R-P5-31-18_20210527_224000.wav,t
